名称,地址,描述,观看次数,弹幕数,发布时间,作者
【何同学】在投递5G体验视频后狂增60w粉丝！,//www.bilibili.com/video/av55036976?from=search&seid=17600935286640522668,"
        说实话，其实这是今年科技圈目前为止比较好的一次营销了，站在5G这个风口浪尖，再加上何同学本身就过硬的视频制作素质，和与常人不同的，回到以前的思想，再加上微博一路大v和各路kol的疯狂转发，造就了这个视频和何同学的火爆
还是希望何同学能坚持本...
      ","
          1.1万
        ","
          8
        ","
          2019-06-09
        ",冰与火之gay
数码区中最该火的up主？【何同学】,//www.bilibili.com/video/av54840759?from=search&seid=17600935286640522668,"
        最后臭不要脸的放上了自己仿做的片头（狗头保命）
      ","
          2286
        ","
          0
        ","
          2019-06-07
        ",肥猫FatcatTv
【微博热搜】何同学彻底火了,//www.bilibili.com/video/av54899743?from=search&seid=17600935286640522668,"
        微博
【#北京大学生校园测试5G#：快到感受不到下载过程】6月6日，@北京邮电大学 学生@老师好我叫何同学 发布自己测试学校5G网络的视频引发热议。甚至某手机品牌副总裁出现在评论区，向其伸出了橄榄枝。何同学说：“测试时的下载速度可以达到近7...
      ","
          18.0万
        ","
          163
        ","
          2019-06-08
        ",雨萱-YX
一个视频涨粉80W！何同学是怎么做到的【BINGO拉片室】,//www.bilibili.com/video/av54956588?from=search&seid=17600935286640522668,"
        通过拉片何同学的优秀作品，从视频的前期拍摄和后期制作上角度入手，分析何同学的作品到底优秀在哪里！
首先表达歉意！本视频确实是蹭了何同学的热度的！
而且我为了怕赶不上热度加上生病原因没办法精雕细琢，质量还差很多。但后面，绝对不会！用行动证明！...
      ","
          31.1万
        ","
          1136
        ","
          2019-06-08
        ",蛋蛋与Bingo
【何同学】5G之歌,//www.bilibili.com/video/av55197554?from=search&seid=17600935286640522668,"
        我把 老师好我叫何同学 的5g视频鬼畜了～

bgm：我爱洗澡
      ","
          8.8万
        ","
          88
        ","
          2019-06-10
        ",珊小糊
【狂浪】 狂涨  科技区最年轻的百万up何同学 一夜暴涨70W粉丝,//www.bilibili.com/video/av55091737?from=search&seid=17600935286640522668,"
        bgm:狂浪
素材：@老师好我叫何同学av43248892 @贰_33 av53069002 网络 等
填词剪辑调音：河马不挑
      ","
          3021
        ","
          2
        ","
          2019-06-09
        ",河马肥宅酱
Vlog-002 我做了一个决定,//www.bilibili.com/video/av47357488?from=search&seid=17600935286640522668,"
        受 @cbvivi 和 @老师好我叫何同学 的启发，我做了个决定。
      ","
          203
        ","
          0
        ","
          2019-03-26
        ",arkwang
「我的宇宙」可能是目前最有性价比的苹果产品？—— iMac 5K &amp; macOS 深度体验,//www.bilibili.com/video/av46871046?from=search&seid=834991745154888942,"
        由于制作周期的问题，撞上了苹果前两天发布的新款 iMac2019 ，但新 iMac 特性和价格上与 iMac2017 差异不大，只是例行更新，不影响此次的视频。新款的的 iMac 仍然是苹果的性价比之王，详细的 iMac2019 购买指南敬...
      ","
          7.6万
        ","
          742
        ","
          2019-03-21
        ",_我的宇宙_
【挑战】一天只玩半小时手机是什么感受？||壹VLOG之一日玩手机半小时挑战,//www.bilibili.com/video/av49307973?from=search&seid=834991745154888942,"
        刷B站刷多了，看到@老师好我叫何同学 的视频，突发奇想发起挑战！一天只玩半小时手机会是什么感受？在这样不同的一天能干点什么？
      ","
          156
        ","
          5
        ","
          2019-04-14
        ",小太阳sss
新片头，也是第二个片头,//www.bilibili.com/video/av55140914?from=search&seid=834991745154888942,"
        鸣谢@老师好我叫何同学，素材来源于百度，何同学，感谢他们给我的灵感。
      ","
          107
        ","
          0
        ","
          2019-06-10
        ",chsty58
高一学习vlog 学习加唠嗑,//www.bilibili.com/video/av55803591?from=search&seid=834991745154888942,"
        老师好我叫何同学：https://b23.tv/av54737593
      ","
          24
        ","
          0
        ","
          2019-06-16
        ",老笔呀
【VLOG】大年初一的HAPPY与OSMO POCKET使用感受,//www.bilibili.com/video/av44470377?from=search&seid=834991745154888942,"
        第一条Vlog，感谢@影视飓风、@老师好我叫何同学、@OtatoB土豆提供的视频剪辑方法与思路，感谢@临行怀旧g提供后半部分的BGM灵感
拍摄设备：OSMO POCKET       前半段BGM：buddy (from www.benso...
      ","
          365
        ","
          0
        ","
          2019-02-23
        ",MisBlood
现学现卖，凭空亮屏,//www.bilibili.com/video/av40111237?from=search&seid=834991745154888942,"
        刚学到的剪辑技巧，凭空亮屏。谢谢@老师好我叫何同学
      ","
          285
        ","
          0
        ","
          2019-01-07
        ",卡模糊
【搞笑向】有多快？100M宽带在日常使用中的真实体验,//www.bilibili.com/video/av54957277?from=search&seid=834991745154888942,"
        搞笑向视频，视频速度为原始录屏视频的6倍速。
剪辑手法致敬@老师好我叫何同学，视频番号av54737593，1:57~2:00部分。
使用魅族note8录制，网络为中国移动100M家庭宽带，路由器为华硕RT-AC1200。
      ","
          380
        ","
          0
        ","
          2019-06-08
        ",吓得我都转向不足了
《露脸开箱》华为畅享9开箱，讲解配置参数,//www.bilibili.com/video/av55258305?from=search&seid=834991745154888942,"
        鸣谢@老师好我叫何同学
求三连，么么哒。
      ","
          116
        ","
          0
        ","
          2019-06-11
        ",chsty58
约会也不能阻止我看辉夜大小姐！！爱普生Bt-300AR智能眼镜有趣评测,//www.bilibili.com/video/av52413713?from=search&seid=834991745154888942,"
        本期是一期关于爱普生BT-300AR智能眼睛的正经评测*…^.
在和女生约会但是还想看动漫怎么办？
为什么我的眼中只有辉夜大小姐没有她？
AR眼镜帮你实现。
开箱过程比较长，但是这类产品的配件蛮有趣的
最后P2有分享这期视频的拍摄感受（也是...
      ","
          582
        ","
          1
        ","
          2019-05-14
        ",690从1开始的生活
20岁生日，不祝快乐，祝成长/004 ABB,//www.bilibili.com/video/av52538108?from=search&seid=834991745154888942,"
        依旧是很粗糙的一期视频，但是自己也花了一个多星期的零碎时间来做这件事，部分画面来自网络，抖音和B站，感谢@影视飓风、@极地手记和@老师好我叫何同学的视频。
发现原来的照片和视频实在太少，以至于之前的内容做了精简。以后还是要多拍照片和视频，不...
      ","
          82
        ","
          0
        ","
          2019-05-15
        ",merryABB
Vlog #14 最美四月天/airpods开箱/樱花季,//www.bilibili.com/video/av50156478?from=search&seid=834991745154888942,"
        bgm：崖の上のポニョ - 大橋のぞみ
开箱素材拍过曝了2333
em，因为买东西就看好不好看，不会评测，录个开箱就行了。
airpods评测请看up主：老师好我叫何同学
里面的美妆up主是喜欢的二凉
做一个可爱的小男生哈哈哈
      ","
          146
        ","
          2
        ","
          2019-04-22
        ",顾正tai
baicity工作室参观,//www.bilibili.com/video/av52648301?from=search&seid=834991745154888942,"
        10492部分求过审！不过审我直播吃东西
本期视频需要@
@老师好我叫何同学
      ","
          60
        ","
          0
        ","
          2019-05-16
        ",youranxiaobai
5.2 毅然行骑行VLOG,//www.bilibili.com/video/av51290358?from=search&seid=834991745154888942,"
        【骑行VLOG】一个女生和一群男生去香山冲骑行会发生什么样的故事
      ","
          723
        ","
          1
        ","
          2019-05-03
        ",老师好我也叫何同学
